발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,cluster_4,c
1675914739602,"6 km SW of Sincik, Turkey",reviewed,0,284,earthquake,4.3, Turkey,38.5654,37.9889,13.975,2023-02-09 03:52:19.602000+00:00,0,0,red
1672119326820,"63 km NE of Cruz Bay, U.S. Virgin Islands",reviewed,0,195,earthquake,3.56, U.S. Virgin Islands,-64.4555,18.8068,6.0,2022-12-27 05:35:26.820000+00:00,1,1,blue
1593593117542,"Bonin Islands, Japan region",reviewed,0,326,earthquake,4.6, Japan region,141.6734,26.4579,30.32,2020-07-01 08:45:17.542000+00:00,0,3,pink
1632973944728,"72 km ENE of Misawa, Japan",reviewed,0,298,earthquake,4.4, Japan,142.1415,41.0094,53.04,2021-09-30 03:52:24.728000+00:00,0,3,pink
1642061050642,"113 km SSE of Nikolski, Alaska",reviewed,0,211,earthquake,3.7, Alaska,-167.9287,52.0873,10.0,2022-01-13 08:04:10.642000+00:00,1,1,blue
1585291242525,"118 km SSE of K?h Sef?d, Iran",reviewed,0,432,earthquake,5.3, Iran,57.1201,28.2443,10.0,2020-03-27 06:40:42.525000+00:00,2,2,green
1657664222944,Easter Island region,reviewed,0,354,earthquake,4.8,Easter Island region,-114.1974,-22.4496,10.0,2022-07-12 22:17:02.944000+00:00,0,0,red
1623513468939,"81 km SW of Puerto Madero, Mexico",reviewed,0,312,earthquake,4.5, Mexico,-92.9568,14.2068,37.0,2021-06-12 15:57:48.939000+00:00,0,3,pink
1677354997465,"145 km S of False Pass, Alaska",reviewed,0,284,earthquake,4.3, Alaska,-163.214,53.5521,29.511,2023-02-25 19:56:37.465000+00:00,0,3,pink
1687196820824,Tonga region,reviewed,0,312,earthquake,4.5,Tonga region,-175.0544,-23.9487,10.0,2023-06-19 17:47:00.824000+00:00,0,0,red
1585406621374,"192 km SW of Nikolski, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-170.7313,51.6375,21.66,2020-03-28 14:43:41.374000+00:00,1,1,blue
1669423296516,"100 km S of Ust’-Kamchatsk Staryy, Russia",reviewed,0,271,earthquake,4.2, Russia,162.4035,55.327,31.438,2022-11-26 00:41:36.516000+00:00,0,3,pink
1607587467317,"248 km N of Tobelo, Indonesia",reviewed,0,298,earthquake,4.4, Indonesia,128.1154,3.9752,35.0,2020-12-10 08:04:27.317000+00:00,0,3,pink
1643210717876,South Sandwich Islands region,reviewed,0,284,earthquake,4.3,South Sandwich Islands region,-28.8367,-55.2369,16.84,2022-01-26 15:25:17.876000+00:00,0,0,red
1577936905910,"72 km ENE of Punta Cana, Dominican Republic",reviewed,0,154,earthquake,3.16, Dominican Republic,-67.798,18.8993,19.0,2020-01-02 03:48:25.910000+00:00,1,1,blue
